areaName,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
United Kingdom,10/3/2021,32,125165
United Kingdom,9/3/2021,97,125133
United Kingdom,8/3/2021,130,125036
United Kingdom,7/3/2021,102,124906
United Kingdom,6/3/2021,128,124804
United Kingdom,5/3/2021,139,124676
United Kingdom,4/3/2021,135,124537
United Kingdom,3/3/2021,140,124402
United Kingdom,2/3/2021,172,124262
United Kingdom,1/3/2021,223,124090
United Kingdom,28/2/2021,205,123867
United Kingdom,27/2/2021,224,123662
United Kingdom,26/2/2021,216,123438
United Kingdom,25/2/2021,254,123222
United Kingdom,24/2/2021,266,122968
United Kingdom,23/2/2021,282,122702
United Kingdom,22/2/2021,274,122420
United Kingdom,21/2/2021,320,122146
United Kingdom,20/2/2021,343,121826
United Kingdom,19/2/2021,376,121483
United Kingdom,18/2/2021,418,121107
United Kingdom,17/2/2021,428,120689
United Kingdom,16/2/2021,445,120261
United Kingdom,15/2/2021,513,119816
United Kingdom,14/2/2021,490,119303
United Kingdom,13/2/2021,487,118813
United Kingdom,12/2/2021,523,118326
United Kingdom,11/2/2021,571,117803
United Kingdom,10/2/2021,601,117232
United Kingdom,9/2/2021,601,116631
United Kingdom,8/2/2021,682,116030
United Kingdom,7/2/2021,631,115348
United Kingdom,6/2/2021,697,114717
United Kingdom,5/2/2021,748,114020
United Kingdom,4/2/2021,716,113272
United Kingdom,3/2/2021,855,112556
United Kingdom,2/2/2021,846,111701
United Kingdom,1/2/2021,887,110855
United Kingdom,31/1/2021,889,109968
United Kingdom,30/1/2021,912,109079
United Kingdom,29/1/2021,1063,108167
United Kingdom,28/1/2021,1106,107104
United Kingdom,27/1/2021,1107,105998
United Kingdom,26/1/2021,1057,104891
United Kingdom,25/1/2021,1164,103834
United Kingdom,24/1/2021,1153,102670
United Kingdom,23/1/2021,1159,101517
United Kingdom,22/1/2021,1239,100358
United Kingdom,21/1/2021,1231,99119
United Kingdom,20/1/2021,1294,97888
United Kingdom,19/1/2021,1359,96594
United Kingdom,18/1/2021,1296,95235
United Kingdom,17/1/2021,1264,93939
United Kingdom,16/1/2021,1300,92675
United Kingdom,15/1/2021,1223,91375
United Kingdom,14/1/2021,1220,90152
United Kingdom,13/1/2021,1212,88932
United Kingdom,12/1/2021,1204,87720
United Kingdom,11/1/2021,1133,86516
United Kingdom,10/1/2021,1091,85383
United Kingdom,9/1/2021,1017,84292
United Kingdom,8/1/2021,980,83275
United Kingdom,7/1/2021,991,82295
United Kingdom,6/1/2021,931,81304
United Kingdom,5/1/2021,905,80373
United Kingdom,4/1/2021,843,79468
United Kingdom,3/1/2021,756,78625
United Kingdom,2/1/2021,756,77869
United Kingdom,1/1/2021,745,77113
United Kingdom,31/12/2020,750,76368
United Kingdom,30/12/2020,718,75618
United Kingdom,29/12/2020,662,74900
United Kingdom,28/12/2020,676,74238
United Kingdom,27/12/2020,646,73562
United Kingdom,26/12/2020,653,72916
United Kingdom,25/12/2020,609,72263
United Kingdom,24/12/2020,582,71654
United Kingdom,23/12/2020,564,71072
United Kingdom,22/12/2020,563,70508
United Kingdom,21/12/2020,576,69945
United Kingdom,20/12/2020,503,69369
United Kingdom,19/12/2020,487,68866
United Kingdom,18/12/2020,515,68379
United Kingdom,17/12/2020,537,67864
United Kingdom,16/12/2020,434,67327
United Kingdom,15/12/2020,454,66893
United Kingdom,14/12/2020,479,66439
United Kingdom,13/12/2020,419,65960
United Kingdom,12/12/2020,436,65541
United Kingdom,11/12/2020,451,65105
United Kingdom,10/12/2020,445,64654
United Kingdom,9/12/2020,431,64209
United Kingdom,8/12/2020,434,63778
United Kingdom,7/12/2020,422,63344
United Kingdom,6/12/2020,418,62922
United Kingdom,5/12/2020,396,62504
United Kingdom,4/12/2020,472,62108
United Kingdom,3/12/2020,474,61636
United Kingdom,2/12/2020,386,61162
United Kingdom,1/12/2020,400,60776
United Kingdom,30/11/2020,423,60376
United Kingdom,29/11/2020,463,59953
United Kingdom,28/11/2020,467,59490
United Kingdom,27/11/2020,422,59023
United Kingdom,26/11/2020,433,58601
United Kingdom,25/11/2020,483,58168
United Kingdom,24/11/2020,459,57685
United Kingdom,23/11/2020,465,57226
United Kingdom,22/11/2020,476,56761
United Kingdom,21/11/2020,464,56285
United Kingdom,20/11/2020,452,55821
United Kingdom,19/11/2020,462,55369
United Kingdom,18/11/2020,486,54907
United Kingdom,17/11/2020,440,54421
United Kingdom,16/11/2020,423,53981
United Kingdom,15/11/2020,453,53558
United Kingdom,14/11/2020,430,53105
United Kingdom,13/11/2020,435,52675
United Kingdom,12/11/2020,421,52240
United Kingdom,11/11/2020,389,51819
United Kingdom,10/11/2020,389,51430
United Kingdom,9/11/2020,481,51041
United Kingdom,8/11/2020,414,50560
United Kingdom,7/11/2020,391,50146
United Kingdom,6/11/2020,400,49755
United Kingdom,5/11/2020,380,49355
United Kingdom,4/11/2020,328,48975
United Kingdom,3/11/2020,360,48647
United Kingdom,2/11/2020,334,48287
United Kingdom,1/11/2020,358,47953
United Kingdom,31/10/2020,320,47595
United Kingdom,30/10/2020,338,47275
United Kingdom,29/10/2020,311,46937
United Kingdom,28/10/2020,286,46626
United Kingdom,27/10/2020,267,46340
