areaName,date,covidOccupiedMVBeds
United Kingdom,15/1/2021,3789
United Kingdom,14/1/2021,3672
United Kingdom,13/1/2021,3626
United Kingdom,12/1/2021,3496
United Kingdom,11/1/2021,3363
United Kingdom,10/1/2021,3264
United Kingdom,9/1/2021,3145
United Kingdom,8/1/2021,3098
United Kingdom,7/1/2021,2929
United Kingdom,6/1/2021,2821
United Kingdom,5/1/2021,2645
United Kingdom,4/1/2021,2560
United Kingdom,3/1/2021,2420
United Kingdom,2/1/2021,2256
United Kingdom,1/1/2021,2162
United Kingdom,31/12/2020,2122
United Kingdom,30/12/2020,2066
United Kingdom,29/12/2020,1939
United Kingdom,28/12/2020,1847
United Kingdom,27/12/2020,1751
United Kingdom,26/12/2020,1682
United Kingdom,25/12/2020,1616
United Kingdom,24/12/2020,1607
United Kingdom,23/12/2020,1554
United Kingdom,22/12/2020,1529
United Kingdom,21/12/2020,1512
United Kingdom,20/12/2020,1442
United Kingdom,19/12/2020,1412
United Kingdom,18/12/2020,1364
United Kingdom,17/12/2020,1366
United Kingdom,16/12/2020,1340
United Kingdom,15/12/2020,1326
United Kingdom,14/12/2020,1288
United Kingdom,13/12/2020,1281
United Kingdom,12/12/2020,1243
United Kingdom,11/12/2020,1275
United Kingdom,10/12/2020,1267
United Kingdom,9/12/2020,1243
United Kingdom,8/12/2020,1272
United Kingdom,7/12/2020,1271
United Kingdom,6/12/2020,1249
United Kingdom,5/12/2020,1247
United Kingdom,4/12/2020,1274
United Kingdom,3/12/2020,1261
United Kingdom,2/12/2020,1315
United Kingdom,1/12/2020,1351
United Kingdom,30/11/2020,1357
United Kingdom,29/11/2020,1388
United Kingdom,28/11/2020,1378
United Kingdom,27/11/2020,1417
United Kingdom,26/11/2020,1456
United Kingdom,25/11/2020,1480
United Kingdom,24/11/2020,1489
United Kingdom,23/11/2020,1487
United Kingdom,22/11/2020,1454
United Kingdom,21/11/2020,1447
United Kingdom,20/11/2020,1421
United Kingdom,19/11/2020,1426
United Kingdom,18/11/2020,1430
United Kingdom,17/11/2020,1420
United Kingdom,16/11/2020,1391
United Kingdom,15/11/2020,1397
United Kingdom,14/11/2020,1365
United Kingdom,13/11/2020,1355
United Kingdom,12/11/2020,1275
United Kingdom,11/11/2020,1268
United Kingdom,10/11/2020,1219
United Kingdom,9/11/2020,1271
United Kingdom,8/11/2020,1232
United Kingdom,7/11/2020,1207
United Kingdom,6/11/2020,1187
